,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Score_class
15,Brain Age 2: More Training in Minutes a Day,2,2005,5,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo,1,Average
16,Gran Turismo 3: A-Spec,7,2001,6,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,1,High
17,Call of Duty: Modern Warfare 3,14,2011,8,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",4,High
18,Call of Duty: Black Ops,14,2010,8,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,4,High
19,Call of Duty: Black Ops II,8,2012,8,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,4,High
20,Call of Duty: Black Ops II,14,2012,8,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,4,High
21,Call of Duty: Modern Warfare 2,14,2009,8,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,4,High
22,Call of Duty: Modern Warfare 3,8,2011,8,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",4,High
23,Grand Theft Auto III,7,2001,0,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,4,High
24,Super Smash Bros. Brawl,12,2008,2,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,6,High
25,Mario Kart 7,0,2011,6,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",1,High
26,Call of Duty: Black Ops,8,2010,8,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,4,High
27,Grand Theft Auto V,9,2014,0,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,4,High
28,Animal Crossing: Wild World,2,2005,9,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,1,High
29,Halo 3,14,2007,8,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",4,High
30,Gran Turismo 4,7,2004,6,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,1,High
31,Super Mario Galaxy,12,2007,4,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,1,High
32,Grand Theft Auto IV,14,2008,0,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,4,High
33,Gran Turismo,6,1997,6,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,1,High
34,Super Mario 3D Land,0,2011,4,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,1,High
35,Gran Turismo 5,8,2010,6,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,1,High
36,Call of Duty: Modern Warfare 2,8,2009,8,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,4,High
37,Grand Theft Auto IV,8,2008,0,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,4,High
38,Call of Duty: Ghosts,14,2013,8,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,4,Average
39,Just Dance 3,12,2011,3,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,2,Average
40,New Super Mario Bros. 2,0,2012,4,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,1,Average
41,Halo: Reach,14,2010,8,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,4,High
42,Final Fantasy VII,6,1997,7,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,6,High
43,Halo 4,14,2012,8,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries,4,High
44,Gran Turismo 2,6,1999,6,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital,6,High
45,Just Dance 2,12,2010,3,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,2,Average
46,Call of Duty: Ghosts,8,2013,8,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,4,Average
47,Call of Duty 4: Modern Warfare,14,2007,8,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,4,High
48,Animal Crossing: New Leaf,0,2012,9,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,1,High
49,Mario Party DS,2,2007,3,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,1,Average
50,The Elder Scrolls V: Skyrim,14,2011,7,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,4,High
51,FIFA 16,9,2015,10,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,1,High
52,Halo 2,15,2004,8,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,4,High
53,Wii Party,12,2010,3,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,1,Average
54,Mario Party 8,12,2007,3,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,1,Low
55,FIFA Soccer 13,8,2012,0,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,1,High
56,Final Fantasy X,7,2001,7,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,6,High
57,The Sims 3,5,2009,9,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,6,High
58,Final Fantasy VIII,6,1999,7,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,6,High
59,Pokémon Platinum Version,2,2008,7,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,1,High
60,Grand Theft Auto: Liberty City Stories,10,2005,0,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,4,High
61,Call of Duty: Advanced Warfare,9,2014,8,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,4,High
62,FIFA 17,9,2016,10,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",1,High
63,Super Mario Galaxy 2,12,2010,4,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,1,High
64,Call of Duty: World at War,14,2008,8,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,4,High
65,Battlefield 3,14,2011,8,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,4,High
66,Need for Speed Underground,7,2003,6,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,1,High
67,Just Dance,12,2009,3,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,2,Low
68,Battlefield 3,8,2011,8,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,4,High
69,Fallout 4,9,2015,7,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,4,High
70,Tekken 3,6,1998,2,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,6,High
71,The Legend of Zelda: Twilight Princess,12,2006,0,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Nintendo,6,High
72,Crash Bandicoot 3: Warped,6,1998,4,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,1,High
73,Mario Kart 8,13,2014,6,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,1,High
74,Super Smash Bros. Melee,4,2001,2,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,6,High
75,Need for Speed Underground 2,7,2004,6,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,1,High
76,Medal of Honor: Frontline,7,2002,8,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA,6,High
77,Just Dance 4,12,2012,3,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,2,Average
78,Gears of War 2,14,2008,8,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games,4,High
79,Uncharted 3: Drake's Deception,8,2011,0,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,6,High
80,Call of Duty 4: Modern Warfare,8,2007,8,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward,4,High
81,Uncharted 2: Among Thieves,8,2009,0,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,6,High
82,Big Brain Academy,2,2005,3,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo,1,Average
83,Red Dead Redemption,8,2010,0,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,4,High
84,FIFA 14,8,2013,10,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,1,High
85,Assassin's Creed III,8,2012,0,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,4,High
86,Donkey Kong Country Returns,12,2010,4,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,1,High
87,Halo: Combat Evolved,15,2001,8,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Bungie Software,4,High
88,The Elder Scrolls V: Skyrim,8,2011,7,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,4,High
89,Pokémon Emerald Version,3,2004,7,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,Game Freak,1,Average
90,Kingdom Hearts,7,2002,7,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,SquareSoft,1,High
91,Halo 3: ODST,14,2009,8,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",4,High
92,Red Dead Redemption,14,2010,0,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,Rockstar San Diego,4,High
93,Super Mario Sunshine,4,2002,4,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo,1,High
94,World of Warcraft,5,2004,7,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,6,High
95,Driver,6,1999,0,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Reflections Interactive,6,High
96,Gears of War 3,14,2011,8,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Epic Games,4,High
97,Kinect Sports,14,2010,10,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,2,Average
98,Gears of War,14,2006,8,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Epic Games,4,High
99,FIFA 15,9,2014,10,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,1,High
100,Metal Gear Solid 2: Sons of Liberty,7,2001,0,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,KCEJ,4,High
101,Metal Gear Solid,6,1998,0,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,KCEJ,4,High
102,Metal Gear Solid 4: Guns of the Patriots,8,2008,0,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Kojima Productions,4,High
103,Final Fantasy XII,7,2006,7,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,Square Enix,6,High
104,The Last of Us,8,2013,0,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,Naughty Dog,4,High
105,LittleBigPlanet,8,2008,4,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",1,High
106,Resident Evil 2,6,1998,0,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,Capcom,4,High
107,Dragon Quest IX: Sentinels of the Starry Skies,2,2009,7,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,Level 5,2,High
108,Tekken 2,6,1996,2,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,Namco,6,High
109,Destiny,9,2014,8,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",6,Average
110,LEGO Star Wars: The Complete Saga,12,2007,0,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,Traveller's Tales,2,High
111,Cooking Mama,2,2006,9,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,Taito Corporation,1,Average
112,Assassin's Creed II,8,2009,0,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,4,High
113,Assassin's Creed,14,2007,1,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal,4,High
114,Forza Motorsport 3,14,2009,6,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,Turn 10,1,High
115,Super Mario Advance,3,2001,4,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,Nintendo,1,High
116,Monster Hunter Freedom Unite,10,2008,7,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,Capcom,6,High
117,Batman: Arkham City,8,2011,0,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,6,High
118,Grand Theft Auto V,16,2014,0,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Rockstar North,4,High
119,Mario Kart: Super Circuit,3,2001,6,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Intelligent Systems,1,High
120,Crash Bandicoot: The Wrath of Cortex,7,2001,4,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Traveller's Tales,1,Low
121,Call of Duty: World at War,8,2008,8,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Treyarch,4,High
122,Uncharted 4: A Thief's End,9,2016,8,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Naughty Dog,6,High
123,Final Fantasy XIII,8,2009,7,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Square Enix,6,High
124,Final Fantasy IX,6,2000,7,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,SquareSoft,6,High
125,Assassin's Creed III,14,2012,0,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,4,High
126,Final Fantasy X-2,7,2003,7,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,SquareSoft,6,High
127,Call of Duty: Advanced Warfare,16,2014,8,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Sledgehammer Games,4,High
128,Assassin's Creed II,14,2009,0,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,4,High
129,New Super Mario Bros. U,13,2012,4,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,Nintendo,1,High
130,Dragon Quest VIII: Journey of the Cursed King,7,2004,7,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,Level 5,6,High
131,Professor Layton and the Curious Village,2,2007,5,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,Level 5,1,High
132,FIFA Soccer 13,14,2012,0,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,Electronic Arts,1,High
133,Diablo III,5,2012,7,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,Blizzard Entertainment,4,High
134,Medal of Honor: Rising Sun,7,2003,8,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,EA LA,6,Average
135,Guitar Hero II,7,2006,3,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,Harmonix Music Systems,6,High
136,Fable III,14,2010,7,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,Lionhead Studios,4,High
137,Resident Evil 5,8,2009,0,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,Capcom,4,High
138,The Legend of Zelda: Phantom Hourglass,2,2007,0,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,Nintendo,1,High
139,FIFA Soccer 11,8,2010,10,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,EA Sports,1,High
140,Resident Evil,6,1996,0,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,Capcom,4,High
141,Grand Theft Auto: Vice City Stories,10,2006,0,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,Rockstar Leeds,4,High
142,Tony Hawk's Pro Skater,6,1999,10,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,Neversoft Entertainment,6,High
143,Guitar Hero III: Legends of Rock,7,2007,3,Activision,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,"Neversoft Entertainment, BudCat",6,High
144,Link's Crossbow Training,12,2007,8,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,Nintendo,6,Average
145,Fallout 3,14,2008,7,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,Bethesda Game Studios,4,High
146,Uncharted: Drake's Fortune,8,2007,0,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,"Naughty Dog, SCE/WWS",6,High
147,Madden NFL 06,7,2005,10,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,EA Sports,1,High
148,StarCraft II: Wings of Liberty,5,2010,11,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,Blizzard Entertainment,6,High
149,Assassin's Creed,8,2007,1,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,Ubisoft Montreal,4,High
150,God of War III,8,2010,0,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,SCE Santa Monica,4,High
151,Crash Team Racing,6,1999,6,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0,Naughty Dog,1,High
152,LEGO Star Wars: The Complete Saga,2,2007,0,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,TT Fusion,1,High
153,Driver 2,6,2000,0,Atari,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0,Reflections Interactive,6,Low
154,Batman: Arkham City,14,2011,0,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,Rocksteady Studios,6,High
155,Tony Hawk's Pro Skater 2,6,2000,10,Activision,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0,Neversoft Entertainment,6,High
156,The Lord of the Rings: The Two Towers,7,2002,0,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0,Stormfront Studios,6,High
157,Tomb Raider,6,1996,0,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,147.0,Core Design Ltd.,6,High
158,Animal Crossing: City Folk,12,2008,9,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0,Nintendo,1,Average
159,Uncharted: The Nathan Drake Collection,9,2015,0,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264.0,Bluepoint Games,6,High
160,The Legend of Zelda: The Wind Waker,4,2002,0,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968.0,Nintendo,1,High
161,Guitar Hero III: Legends of Rock,12,2007,3,Activision,3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87.0,Vicarious Visions,6,High
162,Luigi's Mansion: Dark Moon,0,2013,0,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0,Next Level Games,1,High
163,Forza Motorsport 4,14,2011,6,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617.0,Turn 10,1,High
164,Madden NFL 2005,7,2004,10,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0,EA Tiburon,1,High
165,Guitar Hero III: Legends of Rock,14,2007,3,Activision,3.19,0.91,0.01,0.42,4.53,85.0,69.0,7.9,165.0,Neversoft Entertainment,6,High
166,Madden NFL 07,7,2006,10,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0,EA Sports,1,High
167,Halo 5: Guardians,16,2015,8,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438.0,343 Industries,6,High
168,Spider-Man: The Movie,7,2002,0,Activision,2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.9,41.0,Treyarch,1,Average
169,Call of Duty: Infinite Warfare,9,2016,8,Activision,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0,Infinity Ward,4,Average
170,God of War,7,2005,0,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.0,75.0,8.9,997.0,SCE Santa Monica,4,High
171,Splatoon,13,2015,8,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,Nintendo,2,High
172,Nintendo Land,13,2012,3,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0,Nintendo,2,Average
173,Tony Hawk's Pro Skater 3,7,2001,10,Activision,2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298.0,Neversoft Entertainment,6,High
174,Winning Eleven: Pro Evolution Soccer 2007,7,2006,10,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86.0,19.0,8.9,33.0,Konami,1,High
175,The Elder Scrolls IV: Oblivion,14,2006,7,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,94.0,90.0,8.7,1109.0,Bethesda Softworks,4,High
176,Need for Speed: Most Wanted,7,2005,6,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82.0,36.0,9.1,137.0,EA Canada,6,High
177,Michael Jackson: The Experience,12,2010,3,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,"Ubisoft Paris, Ubisoft Montpellier",2,Low
